names,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,sum,avg,colour
visualization,31,41,38,28,35,37,42,42,39,32,41,30,26,35,41,55,49,42,33,42,41,43,61,44,52,1000,40,#7D74FE
data,11,10,12,12,14,15,20,19,19,12,12,15,10,22,13,23,18,24,21,24,20,24,27,23,31,451,18.04,#7DFF26
analysis,1,2,3,3,2,8,1,3,3,2,1,2,2,3,3,8,22,27,23,25,20,27,30,30,46,297,11.88,#F84F1B
visual,1,1,2,3,0,2,1,2,2,5,6,3,4,4,4,6,17,19,24,29,20,28,27,29,47,286,11.44,#28D8D5
interaction,4,4,4,6,1,7,10,6,8,8,9,7,8,8,12,9,12,13,18,19,18,16,21,16,22,266,10.64,#FB95B6
volume,6,9,10,8,13,11,11,13,6,8,11,9,10,22,12,19,12,11,10,11,7,11,10,9,7,266,10.64,#9D9931
multi,5,7,3,1,6,2,11,11,9,7,9,8,10,9,8,10,14,16,15,14,12,18,12,13,17,247,9.88,#F12ABF
based,4,1,2,1,1,3,3,3,8,9,4,3,6,14,9,8,6,8,13,10,8,16,11,11,16,178,7.12,#27EA88
exploration,1,2,0,3,0,3,4,6,2,6,1,5,3,8,8,7,13,7,11,15,9,12,13,17,20,176,7.04,#549AD5
surface,4,0,7,3,9,7,6,7,11,3,8,6,11,9,8,8,7,8,7,12,5,8,6,4,3,167,6.68,#FEA526
rendering,4,1,6,3,8,5,7,5,4,9,7,6,13,12,11,14,5,6,2,8,4,3,7,5,1,156,6.24,#7B8D8B
field,3,5,4,4,4,2,4,9,6,12,4,5,5,8,8,11,3,3,4,4,4,10,8,3,6,139,5.56,#BB755F
time,0,3,3,1,1,4,7,5,3,7,4,5,1,7,8,6,9,5,6,6,4,6,11,7,5,124,4.96,#432E16
flow,1,3,3,8,10,6,4,4,2,2,4,1,1,4,6,6,2,4,5,4,6,12,7,6,12,123,4.92,#D75CFB
dimension,9,6,5,2,2,2,4,3,7,3,6,1,2,8,6,2,1,3,5,3,9,10,8,6,7,120,4.8,#44E337
large,0,1,2,3,1,3,0,2,7,7,0,5,6,7,6,7,11,4,3,9,5,9,4,5,9,116,4.64,#51EBE3
information,1,1,0,1,1,12,10,8,3,2,4,4,4,4,4,2,3,7,6,6,6,3,10,5,5,112,4.48,#ED3D24
3d,7,5,5,4,4,5,8,6,3,4,2,3,6,6,2,10,1,2,1,4,5,3,4,3,7,110,4.4,#4069AE
model,3,3,1,1,3,1,4,5,5,1,9,4,2,4,6,1,2,2,2,6,9,6,7,9,6,102,4.08,#E1CC72
design,1,2,3,2,3,4,3,3,6,6,3,2,1,4,5,0,2,2,1,3,2,7,11,10,12,98,3.92,#E33E88
system,6,2,5,5,8,3,2,5,1,2,4,4,1,2,4,4,5,1,2,3,3,5,4,7,7,95,3.8,#D8A3B3
high,0,2,1,2,0,4,1,2,2,1,5,0,0,8,4,9,6,2,2,6,6,8,9,3,6,89,3.56,#428B50
space,1,2,3,2,1,4,4,3,2,1,3,2,4,7,3,4,2,2,2,5,5,3,8,8,8,89,3.56,#66F3A3
study,2,1,3,1,1,4,3,5,2,2,4,23,2,2,0,1,3,0,0,4,1,7,10,2,3,86,3.44,#E28A2A
technique,7,4,2,1,4,5,4,3,2,4,6,5,2,3,1,4,2,2,3,2,1,1,1,4,7,80,3.2,#B2594D
dynamic,1,3,2,0,2,3,2,7,3,3,3,1,3,4,3,5,3,5,0,4,1,3,4,5,6,76,3.04,#609297
graph,0,0,0,0,1,0,0,1,0,1,2,4,1,3,5,5,6,2,6,9,2,4,5,5,3,65,2.6,#E8F03F
vector,0,4,1,2,1,3,4,4,2,6,4,2,2,4,5,3,1,0,3,1,3,2,3,1,2,63,2.52,#3D2241
image,3,2,1,0,0,1,1,1,7,5,3,2,3,4,4,0,2,2,1,2,4,5,1,5,3,62,2.48,#954EB3
case,2,1,3,1,1,3,3,4,2,2,3,23,1,2,0,1,3,0,0,1,0,2,2,0,0,60,2.4,#6A771C
scale,0,1,0,1,1,0,0,1,2,3,0,0,2,3,2,1,5,6,1,6,2,5,3,2,6,53,2.12,#58AE2E
evaluation,0,0,0,0,2,0,2,2,0,1,1,2,3,1,3,3,2,1,4,2,1,5,7,3,7,52,2.08,#75C5E9
virtual,1,1,4,2,5,2,2,4,4,2,3,7,0,1,1,1,3,1,0,0,1,1,1,1,1,49,1.96,#BBEB85
extraction,1,0,1,1,0,2,0,3,4,2,4,2,2,3,1,3,2,3,2,2,0,6,0,2,2,48,1.92,#A7DAB9
parallel,1,1,3,3,2,1,3,0,0,2,0,0,0,1,1,5,2,3,1,5,2,6,2,0,3,47,1.88,#6578E6
approach,0,2,0,0,0,1,0,2,2,1,1,0,2,1,0,3,1,2,4,3,2,5,7,4,4,47,1.88,#932C5F
framework,0,0,0,0,0,0,0,1,2,5,1,0,1,3,2,2,2,2,2,2,5,2,3,6,5,46,1.84,#865A26
efficient,0,0,1,0,0,0,1,4,5,2,1,0,5,2,2,2,1,5,1,1,3,2,2,1,1,42,1.68,#CC78B9
fast,1,2,0,2,2,4,3,1,1,2,2,3,6,2,0,2,1,0,1,1,2,0,1,2,1,42,1.68,#2E5A52
real,1,1,1,0,0,1,3,4,2,2,3,2,1,1,2,1,3,0,1,1,2,1,1,2,0,36,1.44,#8C9D79
