names,sum,colour
visualization,1000,#1f77b4
data,451,#aec7e8
analysis,297,#ff7f0e
visual,286,#ffbb78
interaction,266,#2ca02c
volume,266,#98df8a
multi,247,#d62728
based,178,#ff9896
exploration,176,#9467bd
surface,167,#c5b0d5
rendering,156,#8c564b
field,139,#c49c94
time,124,#e377c2
flow,123,#f7b6d2
dimension,120,#7f7f7f
large,116,#c7c7c7
information,112,#bcbd22
3d,110,#dbdb8d
model,102,#17becf
design,98,#9edae5
system,95,#393b79
high,89,#5254a3
space,89,#6b6ecf
study,86,#9c9ede
technique,80,#637939
dynamic,76,#8ca252
graph,65,#b5cf6b
vector,63,#cedb9c
image,62,#8c6d31
case,60,#bd9e39
scale,53,#e7ba52
evaluation,52,#e7cb94
virtual,49,#843c39
extraction,48,#ad494a
parallel,47,#d6616b
approach,47,#e7969c
framework,46,#7b4173
efficient,42,#a55194
fast,42,#ce6dbd
real,36,#de9ed6
